,tweet_id,name,stage,rating_numerator,rating_denominator
4322,707021089608753152,Tucker,None,12,10
4323,707021089608753152,Tucker,None,12,10
4324,707014260413456384,Ellie,None,11,10
4325,707014260413456384,Ellie,None,11,10
4326,707014260413456384,Ellie,None,11,10
4327,707014260413456384,Ellie,None,11,10
4328,706901761596989440,Elliot,None,3,10
4329,706901761596989440,Elliot,None,3,10
4330,706901761596989440,Elliot,None,3,10
4331,706901761596989440,Elliot,None,3,10
4332,706681918348251136,Katie,None,12,10
4333,706681918348251136,Katie,None,12,10
4334,706681918348251136,Katie,None,12,10
4335,706681918348251136,Katie,None,12,10
4336,706644897839910912,Shadow,None,9,10
4337,706644897839910912,Shadow,None,9,10
4338,706644897839910912,Shadow,None,9,10
4339,706644897839910912,Shadow,None,9,10
4340,706593038911545345,None,None,10,10
4341,706593038911545345,None,None,10,10
4342,706593038911545345,None,None,10,10
4343,706593038911545345,None,None,10,10
4344,706538006853918722,Oliver,None,11,10
4345,706538006853918722,Oliver,None,11,10
4346,706538006853918722,Oliver,None,11,10
4347,706538006853918722,Oliver,None,11,10
4348,706516534877929472,None,None,12,10
4349,706516534877929472,None,None,12,10
4350,706516534877929472,None,None,12,10
4351,706516534877929472,None,None,12,10
4352,706346369204748288,Koda,None,12,10
4353,706346369204748288,Koda,None,12,10
4354,706346369204748288,Koda,None,12,10
4355,706346369204748288,Koda,None,12,10
4356,706310011488698368,None,None,12,10
4357,706310011488698368,None,None,12,10
4358,706310011488698368,None,pupper,12,10
4359,706310011488698368,None,None,12,10
4360,706291001778950144,None,None,11,10
4361,706291001778950144,None,None,11,10
4362,706291001778950144,None,None,11,10
4363,706291001778950144,None,None,11,10
4364,706265994973601792,Kara,None,11,10
4365,706265994973601792,Kara,None,11,10
4366,706265994973601792,Kara,None,11,10
4367,706265994973601792,Kara,None,11,10
4368,706166467411222528,Dexter,None,7,10
4369,706166467411222528,Dexter,None,7,10
4370,706166467411222528,Dexter,None,7,10
4371,706166467411222528,Dexter,None,7,10
4372,705975130514706432,Adele,None,10,10
4373,705975130514706432,Adele,None,10,10
4374,705975130514706432,Adele,pupper,10,10
4375,705975130514706432,Adele,None,10,10
4376,705970349788291072,Lucy,None,12,10
4377,705970349788291072,Lucy,None,12,10
4378,705970349788291072,Lucy,None,12,10
4379,705970349788291072,Lucy,None,12,10
4380,705898680587526145,Max,None,10,10
4381,705898680587526145,Max,None,10,10
