tweet_id,name,stage,rating_numerator,rating_denominator
892420643555336193,Phineas,None,13,10
892420643555336193,Phineas,None,13,10
892420643555336193,Phineas,None,13,10
892420643555336193,Phineas,None,13,10
892177421306343426,Tilly,None,13,10
892177421306343426,Tilly,None,13,10
892177421306343426,Tilly,None,13,10
892177421306343426,Tilly,None,13,10
891815181378084864,Archie,None,12,10
891815181378084864,Archie,None,12,10
891815181378084864,Archie,None,12,10
891815181378084864,Archie,None,12,10
891689557279858688,Darla,None,13,10
891689557279858688,Darla,None,13,10
891689557279858688,Darla,None,13,10
891689557279858688,Darla,None,13,10
891327558926688256,Franklin,None,12,10
891327558926688256,Franklin,None,12,10
891327558926688256,Franklin,None,12,10
891327558926688256,Franklin,None,12,10
891087950875897856,None,None,13,10
891087950875897856,None,None,13,10
891087950875897856,None,None,13,10
891087950875897856,None,None,13,10
890971913173991426,Jax,None,13,10
890971913173991426,Jax,None,13,10
890971913173991426,Jax,None,13,10
890971913173991426,Jax,None,13,10
890729181411237888,None,None,13,10
890729181411237888,None,None,13,10
890729181411237888,None,None,13,10
890729181411237888,None,None,13,10
890609185150312448,Zoey,None,13,10
890609185150312448,Zoey,None,13,10
890609185150312448,Zoey,None,13,10
890609185150312448,Zoey,None,13,10
890240255349198849,Cassie,doggo,14,10
890240255349198849,Cassie,None,14,10
890240255349198849,Cassie,None,14,10
890240255349198849,Cassie,None,14,10
890006608113172480,Koda,None,13,10
890006608113172480,Koda,None,13,10
890006608113172480,Koda,None,13,10
890006608113172480,Koda,None,13,10
889880896479866881,Bruno,None,13,10
889880896479866881,Bruno,None,13,10
889880896479866881,Bruno,None,13,10
889880896479866881,Bruno,None,13,10
889665388333682689,None,None,13,10
889665388333682689,None,None,13,10
889665388333682689,None,None,13,10
889665388333682689,None,puppo,13,10
889638837579907072,Ted,None,12,10
889638837579907072,Ted,None,12,10
889638837579907072,Ted,None,12,10
889638837579907072,Ted,None,12,10
889531135344209921,Stuart,None,13,10
889531135344209921,Stuart,None,13,10
889531135344209921,Stuart,None,13,10
889531135344209921,Stuart,puppo,13,10
889278841981685760,Oliver,None,13,10
889278841981685760,Oliver,None,13,10
889278841981685760,Oliver,None,13,10
889278841981685760,Oliver,None,13,10
888917238123831296,Jim,None,12,10
888917238123831296,Jim,None,12,10
888917238123831296,Jim,None,12,10
888917238123831296,Jim,None,12,10
888804989199671297,Zeke,None,13,10
888804989199671297,Zeke,None,13,10
888804989199671297,Zeke,None,13,10
888804989199671297,Zeke,None,13,10
888554962724278272,Ralphus,None,13,10
888554962724278272,Ralphus,None,13,10
888554962724278272,Ralphus,None,13,10
888554962724278272,Ralphus,None,13,10
888078434458587136,Gerald,None,12,10
888078434458587136,Gerald,None,12,10
888078434458587136,Gerald,None,12,10
888078434458587136,Gerald,None,12,10
887705289381826560,Jeffrey,None,13,10
887705289381826560,Jeffrey,None,13,10
887705289381826560,Jeffrey,None,13,10
887705289381826560,Jeffrey,None,13,10
887517139158093824,such,None,14,10
887517139158093824,such,None,14,10
887517139158093824,such,None,14,10
887517139158093824,such,None,14,10
887473957103951883,Canela,None,13,10
887473957103951883,Canela,None,13,10
887473957103951883,Canela,None,13,10
887473957103951883,Canela,None,13,10
887343217045368832,None,None,13,10
887343217045368832,None,None,13,10
887343217045368832,None,None,13,10
887343217045368832,None,None,13,10
887101392804085760,None,None,12,10
887101392804085760,None,None,12,10
887101392804085760,None,None,12,10
887101392804085760,None,None,12,10
886983233522544640,Maya,None,13,10
886983233522544640,Maya,None,13,10
886983233522544640,Maya,None,13,10
886983233522544640,Maya,None,13,10
886736880519319552,Mingus,None,13,10
886736880519319552,Mingus,None,13,10
886736880519319552,Mingus,None,13,10
886736880519319552,Mingus,None,13,10
886680336477933568,Derek,None,13,10
886680336477933568,Derek,None,13,10
886680336477933568,Derek,None,13,10
886680336477933568,Derek,None,13,10
886366144734445568,Roscoe,None,12,10
886366144734445568,Roscoe,None,12,10
886366144734445568,Roscoe,pupper,12,10
886366144734445568,Roscoe,None,12,10
886258384151887873,Waffles,None,13,10
886258384151887873,Waffles,None,13,10
886258384151887873,Waffles,None,13,10
886258384151887873,Waffles,None,13,10
885984800019947520,Jimbo,None,12,10
885984800019947520,Jimbo,None,12,10
885984800019947520,Jimbo,None,12,10
885984800019947520,Jimbo,None,12,10
885528943205470208,Maisey,None,13,10
885528943205470208,Maisey,None,13,10
885528943205470208,Maisey,None,13,10
885528943205470208,Maisey,None,13,10
885311592912609280,Lilly,None,13,10
885311592912609280,Lilly,None,13,10
885311592912609280,Lilly,None,13,10
885311592912609280,Lilly,None,13,10
885167619883638784,None,None,13,10
885167619883638784,None,None,13,10
885167619883638784,None,None,13,10
885167619883638784,None,None,13,10
884925521741709313,Earl,None,12,10
884925521741709313,Earl,None,12,10
884925521741709313,Earl,None,12,10
884925521741709313,Earl,None,12,10
884876753390489601,Lola,None,13,10
884876753390489601,Lola,None,13,10
884876753390489601,Lola,None,13,10
884876753390489601,Lola,None,13,10
884562892145688576,Kevin,None,13,10
884562892145688576,Kevin,None,13,10
884562892145688576,Kevin,None,13,10
884562892145688576,Kevin,None,13,10
884441805382717440,None,None,14,10
884441805382717440,None,None,14,10
884441805382717440,None,None,14,10
884441805382717440,None,None,14,10
884162670584377345,Yogi,doggo,12,10
884162670584377345,Yogi,None,12,10
884162670584377345,Yogi,None,12,10
884162670584377345,Yogi,None,12,10
883838122936631299,Noah,None,12,10
883838122936631299,Noah,None,12,10
883838122936631299,Noah,None,12,10
883838122936631299,Noah,None,12,10
883482846933004288,Bella,None,5,10
883482846933004288,Bella,None,5,10
883482846933004288,Bella,None,5,10
883482846933004288,Bella,None,5,10
883360690899218434,Grizzwald,None,13,10
883360690899218434,Grizzwald,floofer,13,10
883360690899218434,Grizzwald,None,13,10
883360690899218434,Grizzwald,None,13,10
883117836046086144,None,None,13,10
883117836046086144,None,None,13,10
883117836046086144,None,None,13,10
883117836046086144,None,None,13,10
882992080364220416,Rusty,None,13,10
882992080364220416,Rusty,None,13,10
882992080364220416,Rusty,None,13,10
882992080364220416,Rusty,None,13,10
882762694511734784,Gus,None,12,10
882762694511734784,Gus,None,12,10
882762694511734784,Gus,pupper,12,10
882762694511734784,Gus,None,12,10
882627270321602560,Stanley,None,13,10
882627270321602560,Stanley,None,13,10
882627270321602560,Stanley,None,13,10
882627270321602560,Stanley,None,13,10
882268110199369728,Alfy,None,13,10
882268110199369728,Alfy,None,13,10
882268110199369728,Alfy,None,13,10
882268110199369728,Alfy,None,13,10
882045870035918850,Koko,None,13,10
882045870035918850,Koko,None,13,10
882045870035918850,Koko,None,13,10
882045870035918850,Koko,None,13,10
881906580714921986,Rey,None,12,10
881906580714921986,Rey,None,12,10
881906580714921986,Rey,None,12,10
881906580714921986,Rey,None,12,10
881666595344535552,Gary,None,13,10
881666595344535552,Gary,None,13,10
881666595344535552,Gary,None,13,10
881666595344535552,Gary,None,13,10
881268444196462592,Elliot,None,12,10
881268444196462592,Elliot,None,12,10
881268444196462592,Elliot,None,12,10
881268444196462592,Elliot,None,12,10
880935762899988482,Louis,None,13,10
880935762899988482,Louis,None,13,10
880935762899988482,Louis,None,13,10
880935762899988482,Louis,None,13,10
880872448815771648,None,None,12,10
880872448815771648,None,None,12,10
880872448815771648,None,None,12,10
880872448815771648,None,None,12,10
880465832366813184,Bella,None,12,10
880465832366813184,Bella,None,12,10
880465832366813184,Bella,None,12,10
880465832366813184,Bella,None,12,10
880221127280381952,Jesse,None,12,10
880221127280381952,Jesse,None,12,10
880221127280381952,Jesse,None,12,10
880221127280381952,Jesse,None,12,10
880095782870896641,None,None,11,10
880095782870896641,None,None,11,10
880095782870896641,None,None,11,10
880095782870896641,None,None,11,10
879862464715927552,Romeo,None,13,10
879862464715927552,Romeo,None,13,10
879862464715927552,Romeo,None,13,10
879862464715927552,Romeo,None,13,10
879492040517615616,Bailey,None,12,10
879492040517615616,Bailey,None,12,10
879492040517615616,Bailey,None,12,10
879492040517615616,Bailey,None,12,10
879415818425184262,Duddles,None,13,10
879415818425184262,Duddles,None,13,10
879415818425184262,Duddles,None,13,10
879415818425184262,Duddles,None,13,10
879376492567855104,Jack,None,12,10
879376492567855104,Jack,None,12,10
879376492567855104,Jack,None,12,10
879376492567855104,Jack,None,12,10
879050749262655488,Steven,None,11,10
879050749262655488,Steven,None,11,10
879050749262655488,Steven,None,11,10
879050749262655488,Steven,None,11,10
879008229531029506,Beau,None,13,10
879008229531029506,Beau,None,13,10
879008229531029506,Beau,None,13,10
879008229531029506,Beau,None,13,10
878776093423087618,Snoopy,None,13,10
878776093423087618,Snoopy,None,13,10
878776093423087618,Snoopy,None,13,10
878776093423087618,Snoopy,puppo,13,10
878281511006478336,Shadow,None,13,10
878281511006478336,Shadow,None,13,10
878281511006478336,Shadow,None,13,10
878281511006478336,Shadow,None,13,10
878057613040115712,Emmy,None,14,10
878057613040115712,Emmy,None,14,10
878057613040115712,Emmy,None,14,10
878057613040115712,Emmy,None,14,10
877736472329191424,Aja,None,13,10
877736472329191424,Aja,None,13,10
877736472329191424,Aja,None,13,10
877736472329191424,Aja,None,13,10
877611172832227328,None,None,14,10
877611172832227328,None,None,14,10
877611172832227328,None,pupper,14,10
877611172832227328,None,None,14,10
877556246731214848,Penny,None,12,10
877556246731214848,Penny,None,12,10
877556246731214848,Penny,None,12,10
877556246731214848,Penny,None,12,10
877316821321428993,Dante,None,13,10
877316821321428993,Dante,None,13,10
877316821321428993,Dante,None,13,10
877316821321428993,Dante,None,13,10
877201837425926144,Nelly,None,12,10
877201837425926144,Nelly,None,12,10
877201837425926144,Nelly,None,12,10
877201837425926144,Nelly,None,12,10
876838120628539392,Ginger,None,12,10
876838120628539392,Ginger,None,12,10
876838120628539392,Ginger,pupper,12,10
876838120628539392,Ginger,None,12,10
876484053909872640,Benedict,None,13,10
876484053909872640,Benedict,None,13,10
876484053909872640,Benedict,None,13,10
876484053909872640,Benedict,None,13,10
876120275196170240,Venti,None,13,10
876120275196170240,Venti,None,13,10
876120275196170240,Venti,None,13,10
876120275196170240,Venti,None,13,10
875747767867523072,Goose,None,13,10
875747767867523072,Goose,None,13,10
875747767867523072,Goose,None,13,10
875747767867523072,Goose,None,13,10
875144289856114688,Nugget,None,13,10
875144289856114688,Nugget,None,13,10
875144289856114688,Nugget,None,13,10
875144289856114688,Nugget,None,13,10
875021211251597312,None,None,12,10
875021211251597312,None,None,12,10
875021211251597312,None,None,12,10
875021211251597312,None,None,12,10
874680097055178752,Cash,None,12,10
874680097055178752,Cash,None,12,10
874680097055178752,Cash,None,12,10
874680097055178752,Cash,None,12,10
